#epoch,#try,loss,val_loss,mae,val_mae,train_time
10,4,"[0.04667649790644646, 0.02358713373541832, 0.022763310000300407, 0.01910202018916607, 0.017603101208806038, 0.02134038135409355, 0.014976207166910172, 0.0166056789457798, 0.014835670590400696, 0.015063676051795483]","[0.01224103756248951, 0.009000781923532486, 0.010224806144833565, 0.036622580140829086, 0.014166501350700855, 0.009003209881484509, 0.017196480184793472, 0.014096822589635849, 0.006100807338953018, 0.004917761776596308]","[0.17406286299228668, 0.116306371986866, 0.12146919220685959, 0.11371078342199326, 0.10582402348518372, 0.11900467425584793, 0.10021205991506577, 0.10450485348701477, 0.0965132862329483, 0.09722881019115448]","[0.09844757616519928, 0.08065557479858398, 0.08736302703619003, 0.18338967859745026, 0.10587470978498459, 0.07953807711601257, 0.1185556948184967, 0.1050713062286377, 0.06275289505720139, 0.05818979814648628]",50.38420271873474
10,5,"[0.036322370171546936, 0.025604819878935814, 0.018556304275989532, 0.018599357455968857, 0.016745736822485924, 0.018152806907892227, 0.014382561668753624, 0.014929749071598053, 0.013848206028342247, 0.014166334643959999]","[0.01008209865540266, 0.00911741890013218, 0.011790630407631397, 0.012906961143016815, 0.00817087385803461, 0.017928343266248703, 0.009074771776795387, 0.011590730398893356, 0.00682035693898797, 0.005639536771923304]","[0.14935991168022156, 0.12420744448900223, 0.10922457277774811, 0.10855449736118317, 0.10777122527360916, 0.10625230520963669, 0.09700452536344528, 0.09777399152517319, 0.09337642788887024, 0.09655860811471939]","[0.08540288358926773, 0.08024080097675323, 0.09337234497070312, 0.09889703243970871, 0.07539623230695724, 0.12058573961257935, 0.08043696731328964, 0.09234015643596649, 0.06745891273021698, 0.06240938976407051]",43.98679065704346
10,6,"[0.0406060591340065, 0.027606651186943054, 0.025024333968758583, 0.016741618514060974, 0.016439132392406464, 0.017573369666934013, 0.014232751913368702, 0.018104782328009605, 0.015817251056432724, 0.014490905217826366]","[0.004119543358683586, 0.007867194712162018, 0.010914214886724949, 0.0061704847030341625, 0.007761910557746887, 0.012927553616464138, 0.009024929255247116, 0.00625471118837595, 0.010498907417058945, 0.009579339064657688]","[0.15905456244945526, 0.1341313123703003, 0.1244770735502243, 0.10327907651662827, 0.10461156815290451, 0.10477324575185776, 0.09744296967983246, 0.10984285175800323, 0.09761948883533478, 0.09876761585474014]","[0.049592167139053345, 0.07365857064723969, 0.09010639786720276, 0.06381576508283615, 0.07322532683610916, 0.09888514131307602, 0.08004210889339447, 0.06414745002985, 0.08727049827575684, 0.08261299878358841]",46.8527455329895
10,7,"[0.03371642157435417, 0.029108434915542603, 0.02155110239982605, 0.019505562260746956, 0.015916654840111732, 0.016923505812883377, 0.015000748448073864, 0.012683362700045109, 0.014952884055674076, 0.015390847809612751]","[0.03464668244123459, 0.005274660419672728, 0.011794001795351505, 0.010763080790638924, 0.01105289813131094, 0.009038505144417286, 0.013238114304840565, 0.018236085772514343, 0.015647316351532936, 0.0045632533729076385]","[0.1504388451576233, 0.13974326848983765, 0.11690368503332138, 0.11412574350833893, 0.10121455043554306, 0.10259439796209335, 0.10000090301036835, 0.09393004328012466, 0.09995722770690918, 0.10066374391317368]","[0.17915573716163635, 0.05800062045454979, 0.09657033532857895, 0.09076141566038132, 0.09178518503904343, 0.08084989339113235, 0.10211353749036789, 0.12377575039863586, 0.11224935948848724, 0.056546714156866074]",53.880964517593384
10,8,"[0.05693238973617554, 0.02448222041130066, 0.02806198224425316, 0.02239471673965454, 0.01976091042160988, 0.018412921577692032, 0.01761631853878498, 0.014552870765328407, 0.014101068489253521, 0.014527201652526855]","[0.03039451315999031, 0.03664128854870796, 0.011864548549056053, 0.011088896542787552, 0.018587451428174973, 0.022761937230825424, 0.010915841907262802, 0.015120909549295902, 0.015760885551571846, 0.006176115479320288]","[0.19212685525417328, 0.1299140602350235, 0.14154964685440063, 0.11980073153972626, 0.11531157791614532, 0.10828772187232971, 0.10562056303024292, 0.09557964652776718, 0.09447640180587769, 0.09858030080795288]","[0.16567638516426086, 0.18318261206150055, 0.09442093968391418, 0.08966546505689621, 0.1241675466299057, 0.1395024210214615, 0.0896127000451088, 0.1086612269282341, 0.11172917485237122, 0.06373888999223709]",48.33371877670288
10,9,"[0.04804128408432007, 0.02831442467868328, 0.01770038716495037, 0.02064577117562294, 0.015358974225819111, 0.018242741003632545, 0.01664893515408039, 0.015531723387539387, 0.013396152295172215, 0.015081866644322872]","[0.017800066620111465, 0.01794283278286457, 0.017439579591155052, 0.012942107394337654, 0.011182703077793121, 0.01165136881172657, 0.009421160444617271, 0.0073590995743870735, 0.003414530772715807, 0.00820950511842966]","[0.17679254710674286, 0.13611143827438354, 0.10312855243682861, 0.11763990670442581, 0.09848721325397491, 0.10939937829971313, 0.10856090486049652, 0.09872901439666748, 0.09289183467626572, 0.09578856080770493]","[0.12187960743904114, 0.1218600794672966, 0.11914262920618057, 0.09861574321985245, 0.09047394245862961, 0.09238164871931076, 0.08184050768613815, 0.0705324187874794, 0.04647783562541008, 0.07534880936145782]",46.61286377906799
20,0,"[0.05495751276612282, 0.025432802736759186, 0.02273913100361824, 0.019577179104089737, 0.021189576014876366, 0.016471680253744125, 0.014789028093218803, 0.016914846375584602, 0.013152922503650188, 0.011464301496744156, 0.013813394121825695, 0.011534658260643482, 0.011817810125648975, 0.014985356479883194, 0.014046702533960342, 0.011487353593111038, 0.01422425638884306, 0.009640716016292572, 0.010783303529024124, 0.01308467984199524]","[0.031106188893318176, 0.03579268231987953, 0.011486812494695187, 0.011630588211119175, 0.009040583856403828, 0.007948442362248898, 0.009825877845287323, 0.009888676926493645, 0.006511568557471037, 0.006447515916079283, 0.003702679183334112, 0.004314961843192577, 0.012417169287800789, 0.009780902415513992, 0.005683817435055971, 0.004689374472945929, 0.004241235554218292, 0.01072616782039404, 0.009952620603144169, 0.005829337053000927]","[0.16721342504024506, 0.1292131394147873, 0.12055137008428574, 0.11469079554080963, 0.11868157237768173, 0.10602137446403503, 0.10039648413658142, 0.10325965285301208, 0.09401968866586685, 0.08726051449775696, 0.09444509446620941, 0.08633676916360855, 0.08741118758916855, 0.10380922257900238, 0.0996406301856041, 0.08684864640235901, 0.09318394213914871, 0.08257223665714264, 0.0801953375339508, 0.09453245252370834]","[0.16942764818668365, 0.18299059569835663, 0.09564262628555298, 0.09600019454956055, 0.08120078593492508, 0.07509811222553253, 0.08517948538064957, 0.08514923602342606, 0.06648343056440353, 0.06595758348703384, 0.05027446150779724, 0.05477532744407654, 0.0978570505976677, 0.08461380749940872, 0.06288836151361465, 0.059041254222393036, 0.055431731045246124, 0.08898015320301056, 0.08558211475610733, 0.06345266848802567]",85.93035745620728
20,1,"[0.04176616668701172, 0.026881143450737, 0.02045254223048687, 0.019319485872983932, 0.021865056827664375, 0.017737720161676407, 0.015278633683919907, 0.014569045975804329, 0.01479435246437788, 0.0140780508518219, 0.013221423141658306, 0.010830609127879143, 0.012582753784954548, 0.012804764322936535, 0.012643017806112766, 0.011715851724147797, 0.011738484725356102, 0.009936944581568241, 0.012768176384270191, 0.01322392001748085]","[0.05648291856050491, 0.008105889894068241, 0.024663371965289116, 0.004049986135214567, 0.009361350908875465, 0.0060787866823375225, 0.019857533276081085, 0.004797791130840778, 0.005400767549872398, 0.01159449853003025, 0.008345925249159336, 0.006319377571344376, 0.006381556857377291, 0.01625416986644268, 0.00668307626619935, 0.0035448777489364147, 0.008067946881055832, 0.008975232020020485, 0.0037815950345247984, 0.009350329637527466]","[0.16119393706321716, 0.13218487799167633, 0.11359076201915741, 0.11475694924592972, 0.11625854671001434, 0.10675547271966934, 0.0979079157114029, 0.10055674612522125, 0.0971025675535202, 0.09667006880044937, 0.09305011481046677, 0.08331532776355743, 0.08785992860794067, 0.0897945910692215, 0.0937706008553505, 0.08877378702163696, 0.08785271644592285, 0.0800347626209259, 0.09014277905225754, 0.09301736205816269]","[0.23132482171058655, 0.07453706115484238, 0.1467989832162857, 0.046455033123493195, 0.08164733648300171, 0.06273960322141647, 0.12810274958610535, 0.054795704782009125, 0.05895944684743881, 0.09323258697986603, 0.07701323926448822, 0.06502147763967514, 0.06623188406229019, 0.11357259750366211, 0.06811095029115677, 0.04898776113986969, 0.07547087967395782, 0.07995399087667465, 0.05044734850525856, 0.08084633946418762]",85.56637597084045
20,2,"[0.040077485144138336, 0.027004562318325043, 0.02062266692519188, 0.020760327577590942, 0.01427155639976263, 0.016328996047377586, 0.015192938968539238, 0.014379735104739666, 0.01569308526813984, 0.014743756502866745, 0.01551127154380083, 0.015270107425749302, 0.01245958637446165, 0.012969030067324638, 0.01211578119546175, 0.01258011069148779, 0.010160017758607864, 0.010314024984836578, 0.012535548768937588, 0.009957398287951946]","[0.017569486051797867, 0.028853507712483406, 0.011846386827528477, 0.007223333697766066, 0.014857091009616852, 0.011013775132596493, 0.013250809162855148, 0.011587057262659073, 0.009778354316949844, 0.006374745164066553, 0.010641580447554588, 0.00706483144313097, 0.008347433991730213, 0.003514654701575637, 0.003735373495146632, 0.008294083178043365, 0.008175049908459187, 0.026600459590554237, 0.004962519276887178, 0.006230775732547045]","[0.16989876329898834, 0.13789725303649902, 0.11161606758832932, 0.11902403831481934, 0.09523578733205795, 0.10540563613176346, 0.09839191287755966, 0.09711078554391861, 0.10079072415828705, 0.10016485303640366, 0.10003045201301575, 0.09955641627311707, 0.09306072443723679, 0.09080274403095245, 0.086616151034832, 0.09461057186126709, 0.0822766050696373, 0.08107620477676392, 0.08736623078584671, 0.07971364259719849]","[0.12121810019016266, 0.16088050603866577, 0.09406742453575134, 0.07023698091506958, 0.10802077502012253, 0.0897609144449234, 0.10032857209444046, 0.09276838600635529, 0.08425586670637131, 0.06481944024562836, 0.08829117566347122, 0.06925853341817856, 0.07659875601530075, 0.047581516206264496, 0.049722377210855484, 0.0767396092414856, 0.07925154268741608, 0.15167690813541412, 0.05244598165154457, 0.06931886076927185]",86.69776248931885
20,3,"[0.049618758261203766, 0.02628115378320217, 0.02462432160973549, 0.018981602042913437, 0.01737954281270504, 0.013699245639145374, 0.01928759180009365, 0.013668987900018692, 0.013240054249763489, 0.016544654965400696, 0.014095759019255638, 0.014311491511762142, 0.012531536631286144, 0.013171099126338959, 0.011779887601733208, 0.011686878278851509, 0.010416562668979168, 0.010972597636282444, 0.009254218079149723, 0.010854591615498066]","[0.028183463960886, 0.016859661787748337, 0.026380382478237152, 0.014218112453818321, 0.02257862128317356, 0.006522588897496462, 0.005620284471660852, 0.011354601010680199, 0.0032064104452729225, 0.007632052060216665, 0.008382313884794712, 0.008118581026792526, 0.00525185652077198, 0.011273600161075592, 0.007825501263141632, 0.0033927566837519407, 0.009912962093949318, 0.008210540749132633, 0.006494189612567425, 0.005416695959866047]","[0.17621013522148132, 0.13321833312511444, 0.13086634874343872, 0.10738746076822281, 0.110120989382267, 0.09883258491754532, 0.1112539991736412, 0.09786949306726456, 0.09328851103782654, 0.10073929280042648, 0.09521780908107758, 0.09464580565690994, 0.09050335735082626, 0.09223613142967224, 0.0869889184832573, 0.08984330296516418, 0.0856320858001709, 0.08575202524662018, 0.07888666540384293, 0.08237699419260025]","[0.15940581262111664, 0.11864955723285675, 0.15277689695358276, 0.10546524822711945, 0.1391688734292984, 0.06576825678348541, 0.06005680188536644, 0.09149002283811569, 0.044557422399520874, 0.07247374951839447, 0.07681487500667572, 0.07538164407014847, 0.061433881521224976, 0.09052614867687225, 0.07565858215093613, 0.04792938008904457, 0.08441760390996933, 0.07639898359775543, 0.06921207159757614, 0.061709530651569366]",88.90037298202515
20,4,"[0.051325149834156036, 0.027481844648718834, 0.021604299545288086, 0.020137004554271698, 0.019499486312270164, 0.014788340777158737, 0.013484152965247631, 0.014147777110338211, 0.011753614991903305, 0.012687435373663902, 0.012997083365917206, 0.014279653318226337, 0.011613127775490284, 0.012246987782418728, 0.012855305336415768, 0.01015843078494072, 0.011055865325033665, 0.011817953549325466, 0.011036963202059269, 0.01220759842544794]","[0.020362501963973045, 0.03252113610506058, 0.02264515683054924, 0.010245423763990402, 0.013803559355437756, 0.006828452460467815, 0.005413790233433247, 0.012941774912178516, 0.01310771144926548, 0.012468027882277966, 0.00548606738448143, 0.010968283750116825, 0.011320255696773529, 0.00432689068838954, 0.006522862706333399, 0.011887913569808006, 0.012571512721478939, 0.006078136153519154, 0.012507399544119835, 0.00519744073972106]","[0.17108523845672607, 0.13490352034568787, 0.12293768674135208, 0.11794008314609528, 0.1142515167593956, 0.10023155808448792, 0.0925855040550232, 0.09575776010751724, 0.0898473858833313, 0.09370502829551697, 0.0907319188117981, 0.09580916911363602, 0.08560509979724884, 0.08667869865894318, 0.09386336803436279, 0.08252980560064316, 0.08613080531358719, 0.08559507876634598, 0.08529943227767944, 0.09077910333871841]","[0.1323600858449936, 0.1716233640909195, 0.14026100933551788, 0.08623635023832321, 0.10297759622335434, 0.06781837344169617, 0.06021209806203842, 0.09848988801240921, 0.09910745918750763, 0.09656412154436111, 0.06248107925057411, 0.08958406746387482, 0.09082391858100891, 0.05522945150732994, 0.069061279296875, 0.09255743026733398, 0.09552062302827835, 0.06780146062374115, 0.09595447778701782, 0.06055699288845062]",85.44073486328125
20,5,"[0.040117472410202026, 0.02906680293381214, 0.017097879201173782, 0.02071494795382023, 0.015613438561558723, 0.013941926881670952, 0.017407065257430077, 0.014126276597380638, 0.013988159596920013, 0.01582420989871025, 0.011518779210746288, 0.01744709722697735, 0.011423589661717415, 0.011416444554924965, 0.01082264818251133, 0.011161765083670616, 0.01238660141825676, 0.012154932133853436, 0.011388691142201424, 0.012591090053319931]","[0.007392548955976963, 0.011407248675823212, 0.005159944295883179, 0.00991850160062313, 0.005885000806301832, 0.008388197049498558, 0.01574089378118515, 0.007882772013545036, 0.011235288344323635, 0.009655517525970936, 0.004205837845802307, 0.006974852178245783, 0.007787854410707951, 0.0042572771199047565, 0.0033501633442938328, 0.011730153113603592, 0.005799080710858107, 0.007592987734824419, 0.009667197242379189, 0.00431430758908391]","[0.15944670140743256, 0.13372550904750824, 0.10128597915172577, 0.11591440439224243, 0.10440757870674133, 0.0991584062576294, 0.10775941610336304, 0.09841207414865494, 0.09240314364433289, 0.0999366044998169, 0.08761944621801376, 0.10171430557966232, 0.0859534814953804, 0.08390072733163834, 0.08438265323638916, 0.08390947431325912, 0.09240533411502838, 0.091290682554245, 0.0852450430393219, 0.087089903652668]","[0.0705125629901886, 0.09274644404649734, 0.05706227570772171, 0.08446839451789856, 0.061982836574316025, 0.07737983018159866, 0.11264503747224808, 0.07427165657281876, 0.09121580421924591, 0.08346665650606155, 0.05491546541452408, 0.06963419169187546, 0.07424921542406082, 0.05529617890715599, 0.0475274994969368, 0.09246071428060532, 0.06562641263008118, 0.07509978115558624, 0.08387234807014465, 0.054385583847761154]",86.53999137878418
20,6,"[0.0385238416492939, 0.024846583604812622, 0.02105638012290001, 0.017277909442782402, 0.015802975744009018, 0.015552658587694168, 0.018491040915250778, 0.015355819836258888, 0.014475272037088871, 0.015220205299556255, 0.013858295045793056, 0.012647881172597408, 0.014775419607758522, 0.013601389713585377, 0.013452447019517422, 0.013178342953324318, 0.011052665300667286, 0.011226248927414417, 0.008319053798913956, 0.011044937185943127]","[0.04140527918934822, 0.021260937675833702, 0.008146403357386589, 0.006343364249914885, 0.01081495638936758, 0.02466609515249729, 0.01056506298482418, 0.012878187000751495, 0.015402241609990597, 0.00726542342454195, 0.013953893445432186, 0.020536204800009727, 0.00700309406965971, 0.015669139102101326, 0.014440439641475677, 0.015790678560733795, 0.0055602178908884525, 0.007392741274088621, 0.006876959465444088, 0.016133632510900497]","[0.15469057857990265, 0.12488483637571335, 0.11412510275840759, 0.10308604687452316, 0.10416282713413239, 0.10034716129302979, 0.10965865850448608, 0.09655768424272537, 0.09344460815191269, 0.10243753343820572, 0.09590283036231995, 0.08992215245962143, 0.09500674903392792, 0.09296873211860657, 0.09587791562080383, 0.09412351250648499, 0.08632881939411163, 0.08513985574245453, 0.07461339235305786, 0.08856163918972015]","[0.19519665837287903, 0.13333263993263245, 0.07434246689081192, 0.06370284408330917, 0.0883515402674675, 0.1442592591047287, 0.08761425316333771, 0.0981673076748848, 0.10854674875736237, 0.06977611780166626, 0.10203365981578827, 0.1298801153898239, 0.06994957476854324, 0.10967226326465607, 0.10390832275152206, 0.10915631800889969, 0.06403308361768723, 0.07251667231321335, 0.07006409019231796, 0.10985138267278671]",87.35048007965088
20,7,"[0.04138442128896713, 0.024550411850214005, 0.019588710740208626, 0.017367493361234665, 0.01808452606201172, 0.016576683148741722, 0.016431715339422226, 0.015970073640346527, 0.016115348786115646, 0.014980457723140717, 0.013617316260933876, 0.01055881381034851, 0.012943083420395851, 0.012690459378063679, 0.010950124822556973, 0.011635526083409786, 0.009437299333512783, 0.010717449709773064, 0.012530088424682617, 0.009713582694530487]","[0.02608218975365162, 0.01603267341852188, 0.012039035558700562, 0.006201091222465038, 0.026312442496418953, 0.01860354281961918, 0.019323425367474556, 0.013799983076751232, 0.014181844890117645, 0.019978130236268044, 0.008070445619523525, 0.006032946519553661, 0.013059889897704124, 0.011446919292211533, 0.009532120078802109, 0.0034886160865426064, 0.0045023830607533455, 0.009512089192867279, 0.011493834666907787, 0.005461701191961765]","[0.15481826663017273, 0.1200021356344223, 0.11770027875900269, 0.10243888199329376, 0.11347884684801102, 0.1057131439447403, 0.10176096856594086, 0.10164359956979752, 0.10386871546506882, 0.09814057499170303, 0.09776279330253601, 0.08208582550287247, 0.09394195675849915, 0.0891382247209549, 0.08674242347478867, 0.0840371623635292, 0.07869549095630646, 0.08968354761600494, 0.09040256589651108, 0.0785912573337555]","[0.15201427042484283, 0.11472679674625397, 0.09543213248252869, 0.06381306797266006, 0.15244410932064056, 0.12421049922704697, 0.12787766754627228, 0.10329032689332962, 0.10457836091518402, 0.12986066937446594, 0.07543978840112686, 0.06448668241500854, 0.09948057681322098, 0.0913790911436081, 0.08198948204517365, 0.04883425682783127, 0.05791673809289932, 0.08286278694868088, 0.09188974648714066, 0.06299823522567749]",87.07327938079834
20,8,"[0.03692355751991272, 0.027727114036679268, 0.022909659892320633, 0.018775595352053642, 0.01472463272511959, 0.014383289031684399, 0.013659329153597355, 0.014196021482348442, 0.013129769824445248, 0.013153634034097195, 0.01302653830498457, 0.009573851712048054, 0.011621479876339436, 0.011278276331722736, 0.011472384445369244, 0.013112256303429604, 0.010945267975330353, 0.011922508478164673, 0.010721530765295029, 0.010131534188985825]","[0.012143213301897049, 0.01092358585447073, 0.014076020568609238, 0.013906283304095268, 0.01190418004989624, 0.005720288027077913, 0.006101410835981369, 0.007644436322152615, 0.01082721259444952, 0.009221145883202553, 0.012549977749586105, 0.007347604725509882, 0.005122415255755186, 0.012771906331181526, 0.012124834582209587, 0.0188387893140316, 0.012779692187905312, 0.004454419482499361, 0.00547751085832715, 0.007170185912400484]","[0.15077108144760132, 0.13166679441928864, 0.12077402323484421, 0.10968788713216782, 0.10204526036977768, 0.09653058648109436, 0.09300346672534943, 0.0955682322382927, 0.0947747752070427, 0.09867905080318451, 0.09440025687217712, 0.07899061590433121, 0.08923693746328354, 0.08910954743623734, 0.08512065559625626, 0.08939916640520096, 0.08318524062633514, 0.08676694333553314, 0.08326337486505508, 0.08170972764492035]","[0.0971975103020668, 0.09140178561210632, 0.10697362571954727, 0.10598436743021011, 0.09500116854906082, 0.06146597862243652, 0.06380593031644821, 0.07273311167955399, 0.0888826996088028, 0.08041325211524963, 0.09731362760066986, 0.07344476133584976, 0.06192472577095032, 0.09797399491071701, 0.09577948600053787, 0.12378948926925659, 0.09770181775093079, 0.056553035974502563, 0.06263010948896408, 0.07264046370983124]",89.1749746799469
