mode,#try,loss,val_loss,mae,val_mae,train_time
single,10,"[0.048579830676317215, 0.02055615372955799, 0.01544763520359993, 0.016919048503041267, 0.013061660341918468, 0.01603146828711033, 0.013325519859790802, 0.014834725297987461, 0.013678085058927536, 0.010862085968255997]","[0.013339432887732983, 0.02279689535498619, 0.026984332129359245, 0.005391089245676994, 0.008661499246954918, 0.005686946678906679, 0.004386967048048973, 0.00867905467748642, 0.007474758196622133, 0.004234314896166325]","[0.16866467893123627, 0.11455339193344116, 0.09897389262914658, 0.10428669303655624, 0.08871154487133026, 0.09870251268148422, 0.093088299036026, 0.09614552557468414, 0.09325237572193146, 0.08326729387044907]","[0.10435467213392258, 0.14279237389564514, 0.1564093679189682, 0.059434615075588226, 0.07886918634176254, 0.06271084398031235, 0.05684347823262215, 0.07841631770133972, 0.07227850705385208, 0.055450160056352615]",44.76984977722168
single,11,"[0.03435038402676582, 0.021979128941893578, 0.017491430044174194, 0.02087814174592495, 0.016748247668147087, 0.012375523336231709, 0.009650271385908127, 0.012335655279457569, 0.011633746325969696, 0.012886524200439453]","[0.005551994312554598, 0.00820242427289486, 0.00777512276545167, 0.010936709120869637, 0.011181102134287357, 0.0033705844543874264, 0.008335028775036335, 0.007910152897238731, 0.02147085964679718, 0.010833876207470894]","[0.14154765009880066, 0.1173633337020874, 0.10765043646097183, 0.11716825515031815, 0.10715144872665405, 0.08975651860237122, 0.07979144155979156, 0.08973918855190277, 0.09017638117074966, 0.09106872230768204]","[0.05887211859226227, 0.07517947256565094, 0.07298789173364639, 0.08907762914896011, 0.09046267718076706, 0.04522820562124252, 0.07560510188341141, 0.07358557730913162, 0.1352711319923401, 0.08828051388263702]",44.87996435165405
single,12,"[0.03857230767607689, 0.025017987936735153, 0.02284439466893673, 0.015048147179186344, 0.014056306332349777, 0.011101081036031246, 0.01378701999783516, 0.012158856727182865, 0.010236999951303005, 0.013250254094600677]","[0.01566486805677414, 0.025917887687683105, 0.02741832658648491, 0.01170255895704031, 0.018468445166945457, 0.009734920226037502, 0.004276945721358061, 0.004914139397442341, 0.006471290718764067, 0.006573970429599285]","[0.15987266600131989, 0.12639904022216797, 0.12725484371185303, 0.09835599362850189, 0.09777990728616714, 0.08620776236057281, 0.09517135471105576, 0.09115034341812134, 0.08033674210309982, 0.09241192042827606]","[0.11273664236068726, 0.15144377946853638, 0.15660816431045532, 0.09308737516403198, 0.12295606732368469, 0.08342885226011276, 0.054045453667640686, 0.05929343029856682, 0.06730160117149353, 0.06798632442951202]",44.46680808067322
single,13,"[0.03587070852518082, 0.018646985292434692, 0.01646856591105461, 0.016647741198539734, 0.016599301248788834, 0.012790909968316555, 0.014476532116532326, 0.012102999724447727, 0.011555598117411137, 0.009783396497368813]","[0.019054563716053963, 0.019781285896897316, 0.022343480959534645, 0.015104631893336773, 0.010631231591105461, 0.006586363539099693, 0.028136754408478737, 0.005622490309178829, 0.004056630656123161, 0.007404650561511517]","[0.14723053574562073, 0.11089831590652466, 0.09651055186986923, 0.10686592757701874, 0.10418384522199631, 0.08973123878240585, 0.09915751218795776, 0.08685532212257385, 0.09141704440116882, 0.08221416920423508]","[0.12719854712486267, 0.1291433870792389, 0.13849478960037231, 0.10868293792009354, 0.08848221600055695, 0.06641221791505814, 0.1576748490333557, 0.063756562769413, 0.0527176707983017, 0.07197387516498566]",48.105112075805664
single,14,"[0.0325094498693943, 0.02299327589571476, 0.015766846016049385, 0.014712714590132236, 0.015970267355442047, 0.01277809776365757, 0.013501780107617378, 0.012551678344607353, 0.011206823401153088, 0.011054029688239098]","[0.026696616783738136, 0.02238483540713787, 0.0071193319745361805, 0.006422035861760378, 0.004438882227987051, 0.013917885720729828, 0.004153004381805658, 0.012495256029069424, 0.004079299513250589, 0.004070221912115812]","[0.14429336786270142, 0.12451961636543274, 0.10179571062326431, 0.09897906333208084, 0.1016593873500824, 0.09041804820299149, 0.09439877420663834, 0.09109336137771606, 0.08490979671478271, 0.08444710820913315]","[0.15444444119930267, 0.14047008752822876, 0.07014361768960953, 0.06577882915735245, 0.055942583829164505, 0.10415320098400116, 0.04854460060596466, 0.09690378606319427, 0.05400881543755531, 0.05278963968157768]",49.642157316207886
single,15,"[0.045796602964401245, 0.022526174783706665, 0.01802096702158451, 0.01473772618919611, 0.011741669848561287, 0.013890688307583332, 0.01295555755496025, 0.013902409002184868, 0.009274177253246307, 0.0134583730250597]","[0.01982903853058815, 0.009563595987856388, 0.01811203733086586, 0.017055826261639595, 0.006004359107464552, 0.008167611435055733, 0.004413609858602285, 0.003104215022176504, 0.005770913325250149, 0.005846018902957439]","[0.15936483442783356, 0.11673082411289215, 0.10704819858074188, 0.09518524259328842, 0.09010940790176392, 0.093349888920784, 0.09225932508707047, 0.09503104537725449, 0.0772622600197792, 0.09900697320699692]","[0.13009080290794373, 0.08297405391931534, 0.12257983535528183, 0.11807433515787125, 0.062483057379722595, 0.07510590553283691, 0.05551159381866455, 0.04404979571700096, 0.06556183099746704, 0.06465709209442139]",47.21833610534668
single,16,"[0.03649690002202988, 0.02345282770693302, 0.019850410521030426, 0.01546609215438366, 0.01763020269572735, 0.012512516230344772, 0.012471728958189487, 0.012480427511036396, 0.015215576626360416, 0.012255285866558552]","[0.018772928044199944, 0.00855996273458004, 0.014276659116148949, 0.02661159075796604, 0.01289478037506342, 0.008357136510312557, 0.009524572640657425, 0.009036194533109665, 0.00539952190592885, 0.012559926137328148]","[0.1490662693977356, 0.12130437046289444, 0.11506812274456024, 0.103426992893219, 0.10732041299343109, 0.09152423590421677, 0.0917612761259079, 0.09063571691513062, 0.10092023760080338, 0.08781901746988297]","[0.12592722475528717, 0.07727805525064468, 0.10608909279108047, 0.15199021995067596, 0.09805519878864288, 0.076136514544487, 0.08231468498706818, 0.07984700798988342, 0.06162598356604576, 0.09643250703811646]",49.946882247924805
single,17,"[0.034270305186510086, 0.019587527960538864, 0.022865593433380127, 0.012902463786303997, 0.020775027573108673, 0.01063236128538847, 0.010555793531239033, 0.015006954781711102, 0.01214724499732256, 0.01050681620836258]","[0.010187417268753052, 0.022355888038873672, 0.03850342333316803, 0.038025300949811935, 0.009616576135158539, 0.0069685461930930614, 0.01223971787840128, 0.007570123299956322, 0.009186032228171825, 0.009096539579331875]","[0.14887799322605133, 0.10950341075658798, 0.12163949757814407, 0.09145047515630722, 0.11857873946428299, 0.08442060649394989, 0.08024913817644119, 0.09720833599567413, 0.09053587913513184, 0.08216588944196701]","[0.08726562559604645, 0.13935738801956177, 0.18831518292427063, 0.18597495555877686, 0.08369111269712448, 0.06840147823095322, 0.09524063766002655, 0.07152119278907776, 0.0804641991853714, 0.08091925829648972]",50.61933660507202
single,18,"[0.038480695337057114, 0.021419037133455276, 0.019262271001935005, 0.01568712294101715, 0.013695153407752514, 0.01492223609238863, 0.010708047077059746, 0.014479059725999832, 0.011686909943819046, 0.014597604982554913]","[0.007567607797682285, 0.014867596328258514, 0.006481200456619263, 0.008019817061722279, 0.01496698334813118, 0.0080788005143404, 0.013358242809772491, 0.004110954701900482, 0.035943351686000824, 0.004883983638137579]","[0.14949281513690948, 0.11475224047899246, 0.11750687658786774, 0.1022280901670456, 0.09189365804195404, 0.09693136811256409, 0.08614771068096161, 0.09576214849948883, 0.08447873592376709, 0.09707001596689224]","[0.07145731151103973, 0.1086464375257492, 0.06574521958827972, 0.07495639473199844, 0.10699116438627243, 0.07476538419723511, 0.1005360335111618, 0.05203032121062279, 0.17820456624031067, 0.059978194534778595]",45.26395845413208
single,19,"[0.04145236685872078, 0.025066757574677467, 0.017700962722301483, 0.014788011088967323, 0.018872706219553947, 0.011111882515251637, 0.012363002635538578, 0.013000838458538055, 0.015145117416977882, 0.01073523610830307]","[0.018577808514237404, 0.024478811770677567, 0.01380215398967266, 0.006402916274964809, 0.006696859374642372, 0.012523707002401352, 0.007210263982415199, 0.003833098104223609, 0.008702551946043968, 0.0042469738982617855]","[0.1592683345079422, 0.12708419561386108, 0.10906287282705307, 0.09770262241363525, 0.1075214371085167, 0.08401811867952347, 0.09260564297437668, 0.09386631101369858, 0.09965834766626358, 0.08668753504753113]","[0.12479973584413528, 0.14433974027633667, 0.10147786140441895, 0.06500925123691559, 0.06757152825593948, 0.09541071206331253, 0.0724615603685379, 0.050527170300483704, 0.07962416112422943, 0.054019179195165634]",45.45545506477356
