mode,#try,loss,val_loss,mae,val_mae,train_time
single,12,"[0.03564848378300667, 0.019001152366399765, 0.014143120497465134, 0.016068683937191963, 0.015158174559473991, 0.011948957107961178, 0.012559197843074799, 0.013244218192994595, 0.011024149134755135, 0.011506733484566212]","[0.02001899853348732, 0.009531253017485142, 0.002937744604423642, 0.00483828317373991, 0.003437683219090104, 0.011636801064014435, 0.007373272441327572, 0.010532999411225319, 0.007126546464860439, 0.005921944044530392]","[0.1492718756198883, 0.11156792938709259, 0.09763579070568085, 0.10692782700061798, 0.09958571940660477, 0.08654796332120895, 0.09023769199848175, 0.09315366297960281, 0.08416517078876495, 0.08747516572475433]","[0.13045017421245575, 0.08273743838071823, 0.040732383728027344, 0.05458952486515045, 0.04670600965619087, 0.09232515841722488, 0.07086449861526489, 0.08728684484958649, 0.0697447806596756, 0.06366630643606186]",57.06091523170471
single,13,"[0.03713690862059593, 0.025819353759288788, 0.014733805321156979, 0.014531971886754036, 0.015768934041261673, 0.012913715094327927, 0.011411433108150959, 0.015149177983403206, 0.012168494053184986, 0.011667792685329914]","[0.014260116964578629, 0.010927828960120678, 0.012026884593069553, 0.012751092202961445, 0.011648131534457207, 0.01757112331688404, 0.01569797657430172, 0.004884099122136831, 0.015169153921306133, 0.012176229618489742]","[0.14612945914268494, 0.12681975960731506, 0.0986342504620552, 0.09723567217588425, 0.10122202336788177, 0.09409479051828384, 0.08541026711463928, 0.09912317991256714, 0.08943193405866623, 0.08831973373889923]","[0.10755974054336548, 0.09156367927789688, 0.09522184729576111, 0.0974586233496666, 0.09233754128217697, 0.11900485306978226, 0.1100974828004837, 0.05862705036997795, 0.1089622899889946, 0.09393300116062164]",58.65830159187317
single,14,"[0.03159159794449806, 0.019681846722960472, 0.016362078487873077, 0.018957816064357758, 0.0122287692502141, 0.0167357437312603, 0.012534969486296177, 0.01486875768750906, 0.013803276233375072, 0.012869704514741898]","[0.04271359369158745, 0.02053867280483246, 0.012096085585653782, 0.008567489683628082, 0.0035182186402380466, 0.008745360188186169, 0.014519918709993362, 0.006305737420916557, 0.005926106125116348, 0.007375371642410755]","[0.1446814388036728, 0.11471208184957504, 0.10495686531066895, 0.11114592105150223, 0.087692491710186, 0.10669438540935516, 0.08846021443605423, 0.09855227172374725, 0.09428037703037262, 0.09132448583841324]","[0.1991734355688095, 0.13213218748569489, 0.09508068114519119, 0.07769376039505005, 0.04886626452207565, 0.07832853496074677, 0.105543352663517, 0.06580942869186401, 0.06314302235841751, 0.07073132693767548]",57.72869634628296
single,15,"[0.03642337769269943, 0.021876679733395576, 0.019220542162656784, 0.014392261393368244, 0.013697436079382896, 0.013697073794901371, 0.012525022961199284, 0.013185415416955948, 0.01258337963372469, 0.011106674559414387]","[0.006860260386019945, 0.010159660130739212, 0.009278875775635242, 0.008791250176727772, 0.02860151417553425, 0.010822421871125698, 0.009388811886310577, 0.0052239480428397655, 0.0048853252083063126, 0.004608567338436842]","[0.14600108563899994, 0.11781633645296097, 0.11073824018239975, 0.09753778576850891, 0.0970638319849968, 0.09225066006183624, 0.09086330980062485, 0.08998856693506241, 0.08995189517736435, 0.0839817076921463]","[0.06771738082170486, 0.08578810840845108, 0.08153527975082397, 0.07898407429456711, 0.1584092229604721, 0.08872396498918533, 0.081830695271492, 0.060618672519922256, 0.05899825692176819, 0.05708605796098709]",59.07465362548828
single,16,"[0.037577323615550995, 0.019551308825612068, 0.01756259985268116, 0.014229211024940014, 0.01702502742409706, 0.01461763121187687, 0.013639545999467373, 0.01341328863054514, 0.01348160021007061, 0.011028620414435863]","[0.013490358367562294, 0.024008624255657196, 0.009963848628103733, 0.017738861963152885, 0.006935620214790106, 0.0038908200804144144, 0.007110724225640297, 0.004662100225687027, 0.010045609436929226, 0.004850564990192652]","[0.15515118837356567, 0.11126335710287094, 0.11003800481557846, 0.09966326504945755, 0.10905908793210983, 0.09883242100477219, 0.09830973297357559, 0.09230687469244003, 0.09375540167093277, 0.08398903906345367]","[0.10368091613054276, 0.14472977817058563, 0.08467783033847809, 0.12011142075061798, 0.06839293986558914, 0.0504123792052269, 0.06957247108221054, 0.056265946477651596, 0.08388645201921463, 0.05922906845808029]",55.902507066726685
single,17,"[0.03653014451265335, 0.02060166746377945, 0.016313547268509865, 0.01847178488969803, 0.014142781496047974, 0.013058297336101532, 0.013013757765293121, 0.012792469933629036, 0.010722368024289608, 0.013683714903891087]","[0.030664676800370216, 0.020871905609965324, 0.003201079089194536, 0.01701388508081436, 0.01735459268093109, 0.009070074185729027, 0.0042531113140285015, 0.018420055508613586, 0.008322757668793201, 0.017315862700343132]","[0.14986900985240936, 0.11325857788324356, 0.09988057613372803, 0.1085442379117012, 0.09914916753768921, 0.09157744795084, 0.08967112749814987, 0.08913116157054901, 0.0855954959988594, 0.09724193811416626]","[0.1669958382844925, 0.13467594981193542, 0.04313383996486664, 0.11804935336112976, 0.11895926296710968, 0.07984621822834015, 0.053859833627939224, 0.12146393209695816, 0.07662829011678696, 0.11815467476844788]",55.67235732078552
single,18,"[0.037009675055742264, 0.020163724198937416, 0.018118854612112045, 0.015713728964328766, 0.0163255725055933, 0.015624609775841236, 0.015160340815782547, 0.015134123153984547, 0.01681140437722206, 0.013574712909758091]","[0.030770178884267807, 0.01886124163866043, 0.03316602483391762, 0.009225334972143173, 0.011691384948790073, 0.011242524720728397, 0.01062625553458929, 0.00404552323743701, 0.02049042098224163, 0.0044477335177361965]","[0.14483261108398438, 0.11672864109277725, 0.10994256287813187, 0.10408682376146317, 0.10570607334375381, 0.10156962275505066, 0.10152982175350189, 0.09714564681053162, 0.10293882340192795, 0.09389594942331314]","[0.1673932522535324, 0.12643760442733765, 0.17392273247241974, 0.08135523647069931, 0.09348049014806747, 0.09156586974859238, 0.087999127805233, 0.051998790353536606, 0.13152359426021576, 0.05421984940767288]",55.80823230743408
single,19,"[0.038124583661556244, 0.019821519032120705, 0.015763133764266968, 0.016638798639178276, 0.015096740797162056, 0.01308070495724678, 0.013847381807863712, 0.012604576535522938, 0.014075884595513344, 0.012113572098314762]","[0.011000868864357471, 0.024446839466691017, 0.027015822008252144, 0.014807275496423244, 0.019060567021369934, 0.0033928637858480215, 0.011131378822028637, 0.01485414244234562, 0.003721261862665415, 0.0068063074722886086]","[0.14704415202140808, 0.11052495241165161, 0.10403367131948471, 0.10467713326215744, 0.10300298780202866, 0.09229075908660889, 0.0954316183924675, 0.09111163765192032, 0.09761989116668701, 0.08973700553178787]","[0.08985132724046707, 0.1454208791255951, 0.1533517837524414, 0.1073637455701828, 0.1252727210521698, 0.04401421919465065, 0.09002010524272919, 0.10765153914690018, 0.050223320722579956, 0.07009226083755493]",56.006603479385376
combined,0,"[0.03779333829879761, 0.02054399810731411, 0.018231991678476334, 0.018204761669039726, 0.014273526147007942, 0.013244133442640305, 0.014039270579814911, 0.013945529237389565, 0.013607392087578773, 0.009984673000872135]","[0.02230609767138958, 0.012409340590238571, 0.018433496356010437, 0.01612105220556259, 0.010743953287601471, 0.00287922122515738, 0.0071594202890992165, 0.007341552991420031, 0.007104109041392803, 0.007327591069042683]","[0.14667406678199768, 0.11173687130212784, 0.1066189557313919, 0.10784287005662918, 0.0944434329867363, 0.09052121639251709, 0.0929143950343132, 0.09484855085611343, 0.0937214270234108, 0.08418897539377213]","[0.13881683349609375, 0.09656400233507156, 0.12241361290216446, 0.1133064329624176, 0.08880390226840973, 0.041251491755247116, 0.07009848952293396, 0.07087840139865875, 0.06988655030727386, 0.07156191021203995]",59.119356632232666
combined,1,"[0.027640847489237785, 0.01885758712887764, 0.01855188049376011, 0.015600704587996006, 0.013098238036036491, 0.01463985163718462, 0.012499076314270496, 0.011149575002491474, 0.011898687109351158, 0.013728676363825798]","[0.009631854481995106, 0.04431037977337837, 0.019548693671822548, 0.007676184643059969, 0.017401941120624542, 0.00540421437472105, 0.01331079937517643, 0.01285119540989399, 0.034696608781814575, 0.00888310931622982]","[0.13272981345653534, 0.1114865243434906, 0.10851246118545532, 0.09717009216547012, 0.08908698707818985, 0.10209754854440689, 0.09260094910860062, 0.08556397259235382, 0.08657147735357285, 0.09117445349693298]","[0.08354255557060242, 0.20295199751853943, 0.12794989347457886, 0.07306159287691116, 0.11897514760494232, 0.06120031327009201, 0.10061981528997421, 0.09734699875116348, 0.17646625638008118, 0.08012763410806656]",58.71388649940491
