Close,Compound,Predicted,Difference,% Diff,Volume,Daily Lag,Predicted Daily Lag,Daily Returns,Predicted Daily Returns,Predicted Daily Return Percentage Diff,Adj Close,MA-3,MA-5,MA-10,,
8/2/2022,300.58667,0.244551,293.245972,7.340698,2.442124,95577600,297.276672,287.278198,-0.011012,-0.020351,-84.80876,300.58667,298.337779,290.146667,NaN,
8/3/2022,307.396667,0.204912,299.811615,7.585052,2.467513,80091000,300.58667,293.245972,-0.022154,-0.021899,1.149035,307.396667,301.753337,296.662,282.937332,
8/4/2022,308.633331,0.142964,305.499237,3.134094,1.015475,72256200,307.396667,299.811615,-0.004007,-0.018617,-364.634438,308.633331,305.53889,302.208667,286.629999,
8/5/2022,288.170013,0.194632,308.795135,-20.625122,-7.157276,113172900,308.633331,305.499237,0.071011,-0.010673,115.030578,288.170013,301.400004,300.412671,288.222665,
8/8/2022,290.42334,0.169214,307.275055,-16.851715,-5.802466,98994000,288.170013,308.795135,-0.007759,0.004947,163.759466,290.42334,295.742228,299.042004,290.421667,
8/9/2022,283.333344,0.088887,303.788391,-20.455048,-7.219428,86244600,290.42334,307.275055,0.025024,0.011477,54.134215,283.333344,287.308899,295.591339,292.869003,
8/10/2022,294.356659,0.173634,297.32959,-2.972931,-1.009976,94918800,283.333344,303.788391,-0.037449,0.021723,158.006268,294.356659,289.371114,292.983337,294.822668,
8/11/2022,286.630005,0.166033,294.474426,-7.844421,-2.736776,70155000,294.356659,297.32959,0.026957,0.009696,64.032321,286.630005,288.106669,288.582672,295.39567,
8/12/2022,300.029999,0.157712,291.596832,8.433167,2.810774,79657200,286.630005,294.474426,-0.044662,0.009868,122.095615,300.029999,293.672221,290.954669,295.68367,
8/15/2022,309.320007,0.127367,291.657166,17.662842,5.710216,89359200,300.029999,291.596832,-0.030034,-0.000207,99.311147,309.320007,298.660004,294.734003,296.888004,
8/16/2022,306.563324,0.164755,294.179962,12.383362,4.039414,88136400,309.320007,291.657166,0.008992,-0.008576,195.367802,306.563324,305.304443,299.379999,297.485669,
8/17/2022,303.996674,0.057744,297.419495,6.577179,2.163569,68766000,306.563324,294.179962,0.008443,-0.010892,229.007762,303.996674,306.626668,301.308002,297.14567,
8/18/2022,302.869995,0.143998,298.046356,4.823639,1.592643,47500500,303.996674,297.419495,0.00372,-0.002103,156.537785,302.869995,304.476664,304.556,296.569336,
8/19/2022,296.666656,0.296843,298.87027,-2.203613,-0.742791,61395300,302.869995,298.046356,0.02091,-0.002757,113.183918,296.666656,301.177775,303.883331,297.419,
8/22/2022,289.91333,0.180319,300.484222,-10.570892,-3.646225,55843200,296.666656,298.87027,0.023294,-0.005371,123.057807,289.91333,296.483327,300.001996,297.367999,
8/23/2022,296.453339,0.104176,298.243652,-1.790314,-0.603911,63984900,289.91333,300.484222,-0.022061,0.007513,134.053874,296.453339,294.344442,297.979999,298.679999,
8/24/2022,297.09668,0.151491,295.043884,2.052795,0.690952,57259800,296.453339,298.243652,-0.002165,0.010845,600.828101,297.09668,294.487783,296.6,298.954001,
8/25/2022,296.070007,0.177002,293.100464,2.969543,1.002987,53230000,297.09668,295.043884,0.003468,0.006631,-91.210367,296.070007,296.540009,295.240002,299.898001,
8/26/2022,288.089996,0.129534,292.146179,-4.056183,-1.407957,57163900,296.070007,293.100464,0.0277,0.003266,88.207627,288.089996,293.752228,293.52467,298.704001,
8/29/2022,284.820007,0.167372,289.469116,-4.649109,-1.632297,41864700,288.089996,292.146179,0.011481,0.009248,19.447601,284.820007,289.660004,292.506006,296.254001,
8/30/2022,277.700012,0.185679,286.717804,-9.017792,-3.247314,50541800,284.820007,289.469116,0.025639,0.009596,62.57338,277.700012,283.536672,288.755341,293.36767,
8/31/2022,275.609985,0.189681,283.25708,-7.647095,-2.774607,52107300,277.700012,286.717804,0.007583,0.012218,-61.112945,275.609985,279.376668,284.458002,290.529001,
9/1/2022,277.160004,0.156723,279.709045,-2.549042,-0.9197,54287000,275.609985,283.25708,-0.005593,0.012685,326.816178,277.160004,276.823334,280.676001,287.958002,
9/2/2022,270.209991,0.247154,276.543121,-6.33313,-2.343781,50890100,277.160004,279.709045,0.025721,0.011448,55.490217,270.209991,274.32666,277.1,285.312335,
9/6/2022,274.420013,0.149828,274.309296,0.110718,0.040346,55860000,270.209991,276.543121,-0.015342,0.008143,153.080929,274.420013,273.930003,275.020001,283.763004,
9/7/2022,283.700012,0.148571,271.976929,11.723083,4.132211,50028900,274.420013,274.309296,-0.032711,0.008576,126.216448,283.700012,276.110006,276.220001,282.487671,
9/8/2022,289.26001,0.126152,272.262695,16.997314,5.876137,53713100,283.700012,271.976929,-0.019221,-0.00105,94.539548,289.26001,282.460012,278.950006,281.704004,
9/9/2022,299.679993,0.178414,274.650543,25.029449,8.352059,54338100,289.26001,272.262695,-0.03477,-0.008694,74.995626,299.679993,290.880005,283.454004,282.065002,
9/12/2022,304.420013,0.0881,280.696381,23.723633,7.79306,48674600,299.679993,274.650543,-0.015571,-0.021539,-38.328969,304.420013,297.786672,290.296008,283.698004,
9/13/2022,292.130005,0.167093,286.70163,5.428375,1.858205,68229600,304.420013,280.696381,0.04207,-0.020946,149.787966,292.130005,298.743337,293.838007,284.429004,
9/14/2022,302.609985,0.178034,290.839417,11.770569,3.889683,72628700,292.130005,286.70163,-0.034632,-0.014227,58.919369,302.609985,299.720001,297.620001,286.920001,
9/15/2022,303.75,0.174845,295.383789,8.366211,2.754308,64795500,302.609985,290.839417,-0.003753,-0.015385,-309.913737,303.75,299.496663,300.517999,289.734003,
9/16/2022,303.350006,0.22297,299.144043,4.205963,1.386505,87087800,303.75,295.383789,0.001319,-0.01257,1053.293725,303.350006,303.236664,301.252002,292.353003,
9/19/2022,309.070007,0.12431,302.401093,6.668915,2.157736,60231200,303.350006,299.144043,-0.018507,-0.010771,41.802892,309.070007,305.390004,302.182001,296.239005,
9/20/2022,308.730011,0.088341,303.990417,4.739594,1.53519,61642800,309.070007,302.401093,0.001101,-0.005228,574.743012,308.730011,307.050008,305.502002,299.670004,
9/21/2022,300.799988,0.09992,304.097229,-3.297241,-1.096157,62555700,308.730011,303.990417,0.026363,-0.000351,101.332355,300.799988,306.200002,305.140002,301.380002,
9/22/2022,288.589996,0.10091,302.306183,-13.716187,-4.752828,70545400,300.799988,304.097229,0.042309,0.005925,85.996917,288.589996,299.373332,302.108002,301.313,
9/23/2022,275.329987,0.12476,297.709045,-22.379059,-8.128086,63748400,288.589996,302.306183,0.04816,0.015442,67.937045,275.329987,288.23999,296.503998,298.878,
9/26/2022,276.01001,0.130479,290.620697,-14.610687,-5.293535,58076900,275.329987,297.709045,-0.002464,0.02439,1089.96299,276.01001,279.976664,289.891998,296.037,
9/27/2022,282.940002,0.178928,283.780212,-0.84021,-0.296957,61925200,276.01001,290.620697,-0.024493,0.024105,198.416001,282.940002,278.093333,284.733997,295.117999,
9/28/2022,287.809998,0.110548,280.048889,7.761108,2.696608,54664800,282.940002,283.780212,-0.016921,0.013324,178.741726,287.809998,282.253337,282.135999,293.638,
9/29/2022,268.209991,0.078079,277.980835,-9.770844,-3.642983,77620600,287.809998,280.048889,0.073077,0.00744,89.8195,268.209991,279.65333,278.059998,290.084,
