#neuron,#try,loss,val_loss,mae,val_mae,train_time
5,0,"[0.07127665728330612, 0.030741311609745026, 0.02525698021054268, 0.02296532317996025, 0.019892267882823944, 0.019142214208841324, 0.018599504604935646, 0.018672630190849304, 0.015992116183042526, 0.01780856028199196]","[0.06801778078079224, 0.0243734959512949, 0.01891258917748928, 0.004352562595158815, 0.007578511256724596, 0.018220793455839157, 0.019343923777341843, 0.00930015929043293, 0.0037957585882395506, 0.006670182105153799]","[0.2086450755596161, 0.14165754616260529, 0.1294955015182495, 0.1208571121096611, 0.11590345948934555, 0.10664146393537521, 0.10594191402196884, 0.10865746438503265, 0.10105443745851517, 0.10685314983129501]","[0.25538933277130127, 0.1473836451768875, 0.12725326418876648, 0.05108242481946945, 0.07176915556192398, 0.12413686513900757, 0.12845458090305328, 0.0815291628241539, 0.046900853514671326, 0.06653306633234024]",52.197898387908936
5,1,"[0.05008094385266304, 0.025677390396595, 0.020390186458826065, 0.022597800940275192, 0.019515451043844223, 0.017385615035891533, 0.01689685508608818, 0.01634119264781475, 0.020650964230298996, 0.016862085089087486]","[0.039777722209692, 0.030453601852059364, 0.012767458334565163, 0.027752676978707314, 0.01305366400629282, 0.01746220700442791, 0.012851685285568237, 0.01048067957162857, 0.006285548210144043, 0.015617549419403076]","[0.1869903951883316, 0.11964477598667145, 0.11698639392852783, 0.12443513423204422, 0.10983077436685562, 0.10908827930688858, 0.10191385447978973, 0.10641534626483917, 0.11565910279750824, 0.10292146354913712]","[0.19225086271762848, 0.166423499584198, 0.10050447285175323, 0.15779687464237213, 0.10115259885787964, 0.12041795998811722, 0.09916862845420837, 0.08762694150209427, 0.06447915732860565, 0.11230633407831192]",51.7452347278595
5,2,"[0.06190849095582962, 0.038000985980033875, 0.028326818719506264, 0.02258921228349209, 0.024519290775060654, 0.025307247415184975, 0.024663245305418968, 0.014386903494596481, 0.019923226907849312, 0.014433066360652447]","[0.060860250145196915, 0.01682828739285469, 0.010867541655898094, 0.009953368455171585, 0.03589319437742233, 0.011239808052778244, 0.01641657017171383, 0.00999784842133522, 0.015675190836191177, 0.013332242146134377]","[0.19696985185146332, 0.1589982807636261, 0.13940641283988953, 0.11933988332748413, 0.11772385239601135, 0.12845052778720856, 0.12289172410964966, 0.09186827391386032, 0.11285193264484406, 0.10047748684883118]","[0.2402430772781372, 0.11763563007116318, 0.08942803740501404, 0.08546857535839081, 0.18211552500724792, 0.0922255739569664, 0.11617226153612137, 0.08565117418766022, 0.11290804296731949, 0.10155021399259567]",51.76528716087341
5,3,"[0.0651547759771347, 0.03623247519135475, 0.03013485111296177, 0.022721920162439346, 0.024401802569627762, 0.026159826666116714, 0.019070087000727654, 0.01607128605246544, 0.015339687466621399, 0.017481129616498947]","[0.026138681918382645, 0.01432475633919239, 0.03660963475704193, 0.014025146141648293, 0.009749549441039562, 0.013360328041017056, 0.0150483762845397, 0.009130246005952358, 0.011960861273109913, 0.01597617380321026]","[0.19350777566432953, 0.15636089444160461, 0.1362013965845108, 0.11973737925291061, 0.1210663914680481, 0.12989287078380585, 0.11118960380554199, 0.10340282320976257, 0.10074138641357422, 0.10473621636629105]","[0.15308627486228943, 0.10823866724967957, 0.18374481797218323, 0.10642101615667343, 0.08453018218278885, 0.1027894988656044, 0.11060020327568054, 0.08116255700588226, 0.09548752009868622, 0.11424671113491058]",52.10009765625
5,4,"[0.0458819679915905, 0.027034107595682144, 0.03009697236120701, 0.02571837417781353, 0.023739423602819443, 0.019648652523756027, 0.01841014251112938, 0.015454405918717384, 0.021419620141386986, 0.016146685928106308]","[0.006562074180692434, 0.03066413849592209, 0.018682146444916725, 0.004843438975512981, 0.010454513132572174, 0.006557098124176264, 0.023816775530576706, 0.008622548542916775, 0.005339589435607195, 0.013943149708211422]","[0.16838647425174713, 0.1291438788175583, 0.13273543119430542, 0.1301497370004654, 0.1211504116654396, 0.11196830868721008, 0.10746227204799652, 0.09839989989995956, 0.1217297837138176, 0.09804115444421768]","[0.06624507904052734, 0.1686125099658966, 0.12874990701675415, 0.05586467683315277, 0.09115280956029892, 0.06756169348955154, 0.14698061347007751, 0.07952958345413208, 0.059281859546899796, 0.10762333124876022]",58.2290358543396
5,5,"[0.04536333680152893, 0.031171781942248344, 0.029058534651994705, 0.02540629729628563, 0.02169184759259224, 0.020785391330718994, 0.02287795953452587, 0.02097327448427677, 0.019639598205685616, 0.014707997441291809]","[0.046266552060842514, 0.009323809295892715, 0.006370781920850277, 0.009253631345927715, 0.023304913192987442, 0.014850357547402382, 0.014249881729483604, 0.006481810938566923, 0.006356393918395042, 0.014297348447144032]","[0.16964824497699738, 0.13907676935195923, 0.13156971335411072, 0.12756600975990295, 0.1133447140455246, 0.11534716188907623, 0.11814560741186142, 0.11924304813146591, 0.10848230123519897, 0.09854505956172943]","[0.20854350924491882, 0.08351696282625198, 0.06485351175069809, 0.08251918107271194, 0.14364439249038696, 0.11071626842021942, 0.107628233730793, 0.0655866488814354, 0.06525271385908127, 0.10776066035032272]",51.92302918434143
5,6,"[0.06396188586950302, 0.03227125480771065, 0.029624177142977715, 0.0247514508664608, 0.020955350250005722, 0.02417428232729435, 0.020443255081772804, 0.019502557814121246, 0.018802877515554428, 0.016758432611823082]","[0.03558087721467018, 0.01037901546806097, 0.016797369346022606, 0.02138681709766388, 0.017016733065247536, 0.011351794935762882, 0.014360189437866211, 0.020081063732504845, 0.009684803895652294, 0.008312636986374855]","[0.19768239557743073, 0.14386138319969177, 0.13571330904960632, 0.13065145909786224, 0.11637987196445465, 0.11827900260686874, 0.11138275265693665, 0.11309634149074554, 0.11257529258728027, 0.10500930994749069]","[0.1812986135482788, 0.08838260918855667, 0.11876539885997772, 0.13644376397132874, 0.1189938634634018, 0.09195123612880707, 0.10616858303546906, 0.1299167275428772, 0.08350814878940582, 0.07622193545103073]",52.6378698348999
5,7,"[0.05177062749862671, 0.031427305191755295, 0.0317394882440567, 0.02806415967643261, 0.02380235493183136, 0.021721411496400833, 0.02073519676923752, 0.015432218089699745, 0.019079945981502533, 0.01647590659558773]","[0.017604684457182884, 0.027645381167531013, 0.01746898889541626, 0.03656742349267006, 0.006695668213069439, 0.01853005588054657, 0.014822396449744701, 0.026620471850037575, 0.02269277349114418, 0.009062484838068485]","[0.18524962663650513, 0.14617641270160675, 0.147396981716156, 0.1356414258480072, 0.12693211436271667, 0.11613097041845322, 0.11633084714412689, 0.10421522706747055, 0.11042408645153046, 0.10358896851539612]","[0.12330755591392517, 0.15917041897773743, 0.12279122322797775, 0.18455535173416138, 0.06715328991413116, 0.12654009461402893, 0.11070901155471802, 0.1546711027622223, 0.14134491980075836, 0.08113103359937668]",50.227341175079346
5,8,"[0.06400179862976074, 0.02845671959221363, 0.024325817823410034, 0.018966510891914368, 0.01992718130350113, 0.02020006626844406, 0.018933329731225967, 0.018105337396264076, 0.018262023106217384, 0.016617627814412117]","[0.02456953562796116, 0.008069542236626148, 0.011927786283195019, 0.013700333423912525, 0.009953847154974937, 0.00363160390406847, 0.0070925489999353886, 0.00758106354624033, 0.00919844675809145, 0.008790728636085987]","[0.19648486375808716, 0.13550017774105072, 0.1264897882938385, 0.10692476481199265, 0.11272478848695755, 0.11896452307701111, 0.11238506436347961, 0.10606315732002258, 0.1167113408446312, 0.10311374068260193]","[0.14739640057086945, 0.07448476552963257, 0.09520348161458969, 0.1034221425652504, 0.08434926718473434, 0.04409907013177872, 0.0687752515077591, 0.07179395109415054, 0.08069267868995667, 0.07857590168714523]",50.306843996047974
5,9,"[0.05296359583735466, 0.04162761941552162, 0.030308958142995834, 0.024572456255555153, 0.021466439589858055, 0.026583530008792877, 0.021350843831896782, 0.017463594675064087, 0.015385334379971027, 0.020558951422572136]","[0.05288383364677429, 0.013962396420538425, 0.017062531784176826, 0.01851319521665573, 0.013882879167795181, 0.011180766858160496, 0.020123060792684555, 0.007732592057436705, 0.008750136941671371, 0.01049860380589962]","[0.1837904155254364, 0.16956570744514465, 0.1429470181465149, 0.12351209670305252, 0.11075861006975174, 0.12991026043891907, 0.1179826483130455, 0.10538752377033234, 0.09711625427007675, 0.11137435585260391]","[0.22400006651878357, 0.10681833326816559, 0.12035458534955978, 0.12625634670257568, 0.10626790672540665, 0.0926767885684967, 0.13208769261837006, 0.0731111690402031, 0.07887386530637741, 0.08825170248746872]",52.240402936935425
