#mode,#try,loss,val_loss,mae,val_mae,train_time
single,10,"[0.04958223178982735, 0.02795270085334778, 0.025957202538847923, 0.019671989604830742, 0.02121693454682827]","[0.01639908365905285, 0.01631748490035534, 0.015127573162317276, 0.01805512234568596, 0.01917146146297455]","[0.18740451335906982, 0.13746467232704163, 0.12834371626377106, 0.11079615354537964, 0.11901963502168655]","[0.11789251118898392, 0.11814085394144058, 0.1130506843328476, 0.12514975666999817, 0.12953445315361023]",18.543603897094727
single,11,"[0.06057307496666908, 0.03227929025888443, 0.027655644342303276, 0.02912149578332901, 0.02447132021188736]","[0.037949301302433014, 0.02113962732255459, 0.009305058047175407, 0.007415941450744867, 0.008792983368039131]","[0.2019028216600418, 0.14569485187530518, 0.1308286190032959, 0.1359100043773651, 0.12417970597743988]","[0.18731895089149475, 0.13517345488071442, 0.08111915737390518, 0.07036974281072617, 0.07821931689977646]",23.708590745925903
single,12,"[0.046102579683065414, 0.027220524847507477, 0.026987580582499504, 0.02310185134410858, 0.019647369161248207]","[0.009437045082449913, 0.029138285666704178, 0.011997180990874767, 0.027964884415268898, 0.017271552234888077]","[0.17043620347976685, 0.1320190578699112, 0.1331995278596878, 0.11750014126300812, 0.11144847422838211]","[0.08354885876178741, 0.16203908622264862, 0.09518570452928543, 0.15670393407344818, 0.11783628165721893]",18.57521367073059
single,13,"[0.05187403783202171, 0.03559154272079468, 0.022990697994828224, 0.028410349041223526, 0.023115135729312897]","[0.03392890840768814, 0.02348671667277813, 0.037096910178661346, 0.015749456360936165, 0.01620594412088394]","[0.18255199491977692, 0.1576830893754959, 0.11480090767145157, 0.136832132935524, 0.1207660585641861]","[0.1757359355688095, 0.14210832118988037, 0.18243201076984406, 0.10987959802150726, 0.1111525446176529]",19.011960744857788
single,14,"[0.05195334553718567, 0.030861463397741318, 0.022203583270311356, 0.024305159226059914, 0.02065489999949932]","[0.05424081161618233, 0.0172184519469738, 0.010953542776405811, 0.02347441576421261, 0.011067050509154797]","[0.17992910742759705, 0.1442950814962387, 0.12117990851402283, 0.12440022826194763, 0.11606922745704651]","[0.22686335444450378, 0.12096884101629257, 0.09192601591348648, 0.14460711181163788, 0.09207279235124588]",19.35555338859558
single,15,"[0.06704108417034149, 0.03579668700695038, 0.026439815759658813, 0.02867305465042591, 0.02183060348033905]","[0.028695616871118546, 0.0236713457852602, 0.024824127554893494, 0.008642149157822132, 0.013099833391606808]","[0.19916322827339172, 0.15343117713928223, 0.13005967438220978, 0.14152105152606964, 0.11776179820299149]","[0.16101260483264923, 0.14410434663295746, 0.14761655032634735, 0.0768173560500145, 0.10008319467306137]",18.60999345779419
single,16,"[0.03946489468216896, 0.030092157423496246, 0.026632748544216156, 0.02170032076537609, 0.020502615720033646]","[0.016768954694271088, 0.009412533603608608, 0.012185007333755493, 0.020643014460802078, 0.006794983986765146]","[0.15633940696716309, 0.14188368618488312, 0.12579627335071564, 0.11949409544467926, 0.11405917257070541]","[0.117502361536026, 0.08146042376756668, 0.09586923569440842, 0.1321924328804016, 0.06709294021129608]",19.285616636276245
single,17,"[0.05315452069044113, 0.0326736643910408, 0.029932226985692978, 0.021041076630353928, 0.022097542881965637]","[0.026948802173137665, 0.011177483014762402, 0.01260779332369566, 0.01999220997095108, 0.037559665739536285]","[0.1808507740497589, 0.1475004404783249, 0.13594183325767517, 0.1157970055937767, 0.12158147990703583]","[0.15568599104881287, 0.09231157600879669, 0.09986377507448196, 0.1317712366580963, 0.1867903172969818]",18.4797682762146
single,18,"[0.07387591153383255, 0.036528490483760834, 0.03290495276451111, 0.02947162091732025, 0.019200045615434647]","[0.016646701842546463, 0.010616838932037354, 0.004370037000626326, 0.003237261902540922, 0.0035493874456733465]","[0.2065173238515854, 0.1471269726753235, 0.13787436485290527, 0.13876669108867645, 0.1061665490269661]","[0.11817143112421036, 0.09073963016271591, 0.052275650203228, 0.0438925139605999, 0.046194080263376236]",19.21552300453186
single,19,"[0.05542593449354172, 0.03246831148862839, 0.024563023820519447, 0.02608446404337883, 0.023059647530317307]","[0.016451291739940643, 0.013052244670689106, 0.0196462981402874, 0.03919894993305206, 0.01618976891040802]","[0.17984236776828766, 0.14539667963981628, 0.12682312726974487, 0.12745612859725952, 0.11708018183708191]","[0.11977483332157135, 0.10562871396541595, 0.1327771246433258, 0.1925860494375229, 0.11891251057386398]",23.73916006088257
single,20,"[0.05898171663284302, 0.03733852133154869, 0.03396232798695564, 0.024018751457333565, 0.02699940651655197]","[0.06040648743510246, 0.01528254710137844, 0.017807435244321823, 0.012115311808884144, 0.015488502569496632]","[0.19560028612613678, 0.15137095749378204, 0.14937403798103333, 0.12301798909902573, 0.1304268091917038]","[0.2395116239786148, 0.11145073175430298, 0.12204007804393768, 0.09613417834043503, 0.11249026656150818]",19.638233423233032
single,21,"[0.06977090239524841, 0.026611020788550377, 0.02821553684771061, 0.02030237950384617, 0.024072866886854172]","[0.023001519963145256, 0.019462186843156815, 0.015829268842935562, 0.01606084033846855, 0.019595108926296234]","[0.21091610193252563, 0.13715341687202454, 0.13322465121746063, 0.11544698476791382, 0.1254790872335434]","[0.14376066625118256, 0.13105590641498566, 0.11631650477647781, 0.11754411458969116, 0.1318005919456482]",23.83651304244995
single,22,"[0.03807790204882622, 0.026786554604768753, 0.023693779483437538, 0.025423811748623848, 0.019832154735922813]","[0.0202200748026371, 0.011177399195730686, 0.029669517651200294, 0.009211855009198189, 0.009306184016168118]","[0.15946874022483826, 0.13489528000354767, 0.12587670981884003, 0.12692342698574066, 0.1185404360294342]","[0.13124121725559235, 0.0906810462474823, 0.1624637097120285, 0.08045576512813568, 0.08071273565292358]",23.68863296508789
single,23,"[0.05175265297293663, 0.03515058383345604, 0.030484240502119064, 0.02518739178776741, 0.021415896713733673]","[0.04534832760691643, 0.016125543043017387, 0.009536465629935265, 0.004325621761381626, 0.015886729583144188]","[0.18429191410541534, 0.15293404459953308, 0.13766343891620636, 0.12790650129318237, 0.11433762311935425]","[0.20617027580738068, 0.11566196382045746, 0.08408746868371964, 0.051507193595170975, 0.11594182252883911]",19.570791959762573
single,24,"[0.06136227399110794, 0.04045968875288963, 0.03287573158740997, 0.02668916806578636, 0.02195858396589756]","[0.055162787437438965, 0.011002203449606895, 0.0106287132948637, 0.010290293022990227, 0.005857985466718674]","[0.18254245817661285, 0.1576838493347168, 0.14067983627319336, 0.13014651834964752, 0.12165229022502899]","[0.22850589454174042, 0.09127740561962128, 0.0890057310461998, 0.0871826633810997, 0.06195055693387985]",18.500059843063354
single,25,"[0.06529559195041656, 0.0336960144340992, 0.023621652275323868, 0.02625531703233719, 0.0192011296749115]","[0.04055901616811752, 0.030507618561387062, 0.007603767793625593, 0.027676397934556007, 0.011456669308245182]","[0.18809787929058075, 0.1471889466047287, 0.12320169061422348, 0.1309881955385208, 0.1079474613070488]","[0.194559708237648, 0.16676661372184753, 0.07211978733539581, 0.15788288414478302, 0.09380639344453812]",24.364136934280396
single,26,"[0.07313861697912216, 0.03256514295935631, 0.027889655902981758, 0.027717437595129013, 0.021430019289255142]","[0.014782550744712353, 0.01715034246444702, 0.014936721883714199, 0.018261253833770752, 0.013918669894337654]","[0.22435592114925385, 0.14530996978282928, 0.13942135870456696, 0.12735222280025482, 0.11903081089258194]","[0.11093056946992874, 0.12127630412578583, 0.11171025037765503, 0.12539710104465485, 0.10650550574064255]",23.794604539871216
